"skill_id","skills","optimal_coefficient","skill_count","avg_salary"
192,"sheets","30.18","30","128934.00"
238,"notion","29.91","20","141432.55"
172,"centos","28.91","20","136728.43"
23,"crystal","28.80","36","117555.39"
200,"cognos","28.73","51","107500.94"
153,"ruby on rails","28.68","14","148249.96"
225,"unity","28.45","22","131346.50"
206,"datarobot","28.26","20","133618.80"
221,"chef","27.86","30","119029.32"
38,"solidity","27.13","7","166771.36"
60,"mariadb","26.87","22","124079.55"
148,"jquery","26.11","29","112510.37"
171,"ubuntu","25.79","11","141626.36"
204,"visio","25.77","20","121853.07"
124,"selenium","25.51","22","117790.05"
65,"couchbase","25.11","17","123684.19"
224,"svn","24.90","19","119240.68"
217,"yarn","24.58","39","98364.68"
40,"clojure","24.56","9","141789.78"
222,"puppet","24.43","15","124145.27"
35,"swift","24.29","15","123416.67"
21,"visual basic","24.16","18","117294.44"
138,"vue","23.94","8","142325.88"
227,"unreal","23.16","9","133690.67"
230,"codecommit","23.14","5","154746.82"
70,"sqlite","22.62","12","121549.58"
176,"macos","21.82","6","139391.67"
73,"vmware","21.79","10","122548.81"
202,"ms access","21.76","11","119475.00"
87,"openstack","21.46","5","143517.63"
33,"groovy","21.45","11","117764.77"
149,"asp.net","21.16","14","109392.64"
41,"elixir","21.13","5","141337.54"
86,"heroku","20.93","5","140000.00"
239,"trello","19.72","10","110881.50"
177,"arch","19.43","4","137376.00"
173,"redhat","19.18","5","128240.00"
125,"cordova","19.10","6","122016.25"
37,"dart","19.05","6","121722.50"
51,"erlang","18.81","4","133000.00"
236,"smartsheet","18.32","6","117050.00"
147,"react.js","18.01","7","110728.50"
47,"sass","17.77","3","135000.00"
249,"microsoft teams","17.57","3","133505.33"
50,"lua","17.05","1","170500.00"
123,"electron","16.71","5","111751.20"
66,"firebase","16.59","6","105997.17"
82,"firebase","16.59","6","105997.17"
229,"npm","16.55","2","139150.00"
34,"objective-c","16.45","1","164500.00"
140,"vue.js","16.19","4","114462.50"
42,"vb.net","16.17","7","99420.43"
69,"couchdb","15.61","2","131250.00"
44,"fortran","15.53","4","109812.50"
113,"flutter","15.30","7","94059.57"
43,"haskell","15.12","2","127136.50"
254,"symphony","14.92","3","113333.33"
48,"lisp","14.80","3","112431.67"
151,"drupal","14.75","1","147500.00"
114,"xamarin","14.42","2","121250.00"
250,"twilio","14.26","3","108333.33"
88,"colocation","14.04","4","99303.50"
157,"next.js","13.38","2","112500.00"
175,"suse","12.50","1","125000.00"
46,"cobol","12.50","1","125000.00"
156,"laravel","12.25","2","103000.00"
243,"workfront","12.00","1","120000.00"
146,"angular.js","11.66","1","116600.00"
68,"firestore","11.60","2","97528.00"
253,"wire","11.25","2","94575.00"
152,"svelte","11.25","2","94575.00"
127,"qt","11.00","1","110000.00"
36,"apl","10.70","2","90000.00"
235,"planner","10.39","5","69480.00"
160,"blazor","9.96","2","83750.00"
231,"homebrew","9.68","1","96773.00"
228,"pulumi","9.68","1","96773.00"
179,"kali","8.91","1","89100.00"
241,"monday.com","7.90","1","79019.00"
89,"digitalocean","7.50","1","75000.00"
